time,true_state_id,true_state,observation_id,observation,snr_db,rss_dbm,ber,throughput_gbps,decoded_state_id,decoded_state,p_los,p_nlos,p_light_blockage,p_severe_blockage,predicted_next_state_id,predicted_next_state,next_blockage_probability
0,0,LoS,0,Excellent,36.192,-41.725,0.00000141,110.000,0,LoS,0.96506,0.03210,0.00268,0.00017,0,LoS,0.05527
1,0,LoS,0,Excellent,31.388,-39.129,0.00000099,110.000,0,LoS,0.97901,0.01958,0.00132,0.00009,0,LoS,0.05301
2,0,LoS,1,Good,31.843,-40.111,0.00000038,98.458,1,NLoS,0.68619,0.28331,0.02855,0.00195,0,LoS,0.09985
3,1,NLoS,1,Good,20.236,-58.675,0.00006209,62.238,1,NLoS,0.40405,0.55259,0.04015,0.00321,0,LoS,0.13736
4,1,NLoS,1,Good,26.564,-58.468,0.00000966,83.124,1,NLoS,0.23017,0.72179,0.04428,0.00375,1,NLoS,0.15885
5,3,Severe blockage,3,Outage,1.521,-82.876,0.02126241,0.000,3,Severe blockage,0.02020,0.30822,0.30543,0.36616,1,NLoS,0.50822
6,3,Severe blockage,3,Outage,2.959,-82.480,0.10879579,0.273,3,Severe blockage,0.00350,0.06668,0.25977,0.67005,2,Light blockage,0.65133
7,2,Light blockage,3,Outage,12.760,-68.122,0.00477191,0.000,3,Severe blockage,0.00246,0.02852,0.21180,0.75722,3,Severe blockage,0.67453
8,2,Light blockage,2,Weak,12.306,-67.802,0.00622403,20.533,2,Light blockage,0.01895,0.11095,0.66370,0.20640,2,Light blockage,0.60122
9,1,NLoS,1,Good,19.860,-56.572,0.00003749,63.977,1,NLoS,0.09842,0.62809,0.24466,0.02883,1,NLoS,0.28707
10,1,NLoS,1,Good,24.632,-54.150,0.00002350,78.732,1,NLoS,0.10853,0.79841,0.08537,0.00769,1,NLoS,0.19490
11,1,NLoS,0,Excellent,21.068,-54.066,0.00002204,87.502,1,NLoS,0.73305,0.25487,0.01116,0.00092,0,LoS,0.08544
12,1,NLoS,1,Good,15.543,-58.684,0.00004197,45.673,1,NLoS,0.43627,0.52555,0.03540,0.00279,0,LoS,0.13121
13,1,NLoS,1,Good,25.481,-59.773,0.00006623,80.193,1,NLoS,0.24623,0.70695,0.04318,0.00364,1,NLoS,0.15647
14,1,NLoS,1,Good,27.192,-55.289,0.00002579,84.965,1,NLoS,0.15840,0.79234,0.04534,0.00392,1,NLoS,0.16736
15,1,NLoS,2,Weak,20.325,-57.227,0.00004646,33.405,1,NLoS,0.04718,0.54661,0.37095,0.03525,1,NLoS,0.35932
16,1,NLoS,1,Good,26.073,-60.319,0.00007694,82.149,1,NLoS,0.09093,0.78692,0.11227,0.00987,1,NLoS,0.21146
17,1,NLoS,2,Weak,20.399,-53.677,0.00008026,34.514,1,NLoS,0.03498,0.50092,0.42373,0.04037,1,NLoS,0.38982
18,1,NLoS,1,Good,19.018,-54.735,0.00007761,56.621,1,NLoS,0.08702,0.77684,0.12514,0.01100,1,NLoS,0.21894
19,2,Light blockage,2,Weak,9.497,-64.421,0.00399503,21.677,1,NLoS,0.03401,0.49138,0.43334,0.04127,1,NLoS,0.39522
20,2,Light blockage,2,Weak,19.222,-70.214,0.01075001,37.198,1,NLoS,0.01969,0.30600,0.61540,0.05891,2,Light blockage,0.49735
21,1,NLoS,1,Good,26.103,-55.773,0.00001075,77.626,1,NLoS,0.08391,0.71873,0.18141,0.01595,1,NLoS,0.25009
22,1,NLoS,1,Good,24.086,-60.331,0.00012747,76.747,1,NLoS,0.10071,0.82204,0.07105,0.00620,1,NLoS,0.18780
23,1,NLoS,1,Good,18.965,-51.768,0.00002708,57.312,1,NLoS,0.10411,0.84096,0.05051,0.00443,1,NLoS,0.17619
24,1,NLoS,1,Good,24.399,-54.151,0.00000566,78.460,1,NLoS,0.10480,0.84416,0.04692,0.00412,1,NLoS,0.17416
25,1,NLoS,1,Good,18.742,-53.320,0.00002837,56.237,1,NLoS,0.10495,0.84468,0.04631,0.00406,1,NLoS,0.17380
26,1,NLoS,1,Good,23.876,-56.755,0.00003431,70.910,1,NLoS,0.10499,0.84476,0.04620,0.00405,1,NLoS,0.17374
27,1,NLoS,1,Good,20.363,-56.185,0.00000702,65.042,1,NLoS,0.10500,0.84477,0.04618,0.00405,1,NLoS,0.17373
28,1,NLoS,1,Good,20.291,-55.025,0.00002585,61.739,1,NLoS,0.10500,0.84477,0.04618,0.00405,1,NLoS,0.17373
29,0,LoS,1,Good,29.954,-43.524,0.00000014,94.002,1,NLoS,0.10500,0.84477,0.04618,0.00405,1,NLoS,0.17373
30,0,LoS,0,Excellent,26.854,-43.565,0.00000204,105.885,0,LoS,0.72781,0.26153,0.00985,0.00081,0,LoS,0.08530
31,0,LoS,0,Excellent,27.489,-38.016,0.00000053,106.435,0,LoS,0.94554,0.05191,0.00237,0.00017,0,LoS,0.05727
32,1,NLoS,3,Outage,21.550,-54.991,0.00002500,0.000,0,LoS,0.14244,0.20765,0.32960,0.32031,2,Light blockage,0.48210
33,0,LoS,0,Excellent,28.851,-43.396,0.00000122,110.000,0,LoS,0.83405,0.13698,0.02490,0.00406,0,LoS,0.08290
34,0,LoS,0,Excellent,32.644,-44.865,0.00000064,110.000,0,LoS,0.96352,0.03420,0.00212,0.00016,0,LoS,0.05516
35,0,LoS,0,Excellent,33.349,-44.374,0.00000026,110.000,0,LoS,0.97879,0.01980,0.00132,0.00009,0,LoS,0.05304
36,0,LoS,1,Good,27.880,-41.363,0.00000017,83.524,0,LoS,0.68590,0.28359,0.02855,0.00195,0,LoS,0.09988
37,1,NLoS,1,Good,17.477,-58.909,0.00004764,53.899,0,LoS,0.40383,0.55280,0.04016,0.00321,0,LoS,0.13739
38,0,LoS,1,Good,30.660,-44.191,0.00000110,99.325,0,LoS,0.23006,0.72190,0.04429,0.00375,1,NLoS,0.15886
39,0,LoS,0,Excellent,34.888,-42.445,0.00000047,110.000,0,LoS,0.80330,0.18868,0.00742,0.00060,0,LoS,0.07567
